"Category","Impact_Name","Abbr","vehicle_type","Stage","value","labX","lvl","abb_lab","x"
"Primary energy detail","Uranium","Uran.","EV","LIB production",1052.58941080267,"Uranium-EV","UraniumLIB production","","Non-Renewable Primary Energy"
"Primary energy detail","Natural gas","NG","EV","LIB production",2583.12571698253,"Natural gas-EV","Natural gasLIB production","NG","Non-Renewable Primary Energy"
"Primary energy detail","Crude oil","Oil","EV","LIB production",2156.68901413546,"Crude oil-EV","Crude oilLIB production","Oil","Non-Renewable Primary Energy"
"Primary energy detail","Coal","Coal","EV","LIB production",7162.80962624164,"Coal-EV","CoalLIB production","Coal","Non-Renewable Primary Energy"
"Primary energy detail","Uranium","Uran.","EV","Vehicle production",1057.9820380752,"Uranium-EV","UraniumVehicle production","","Non-Renewable Primary Energy"
"Primary energy detail","Uranium","Uran.","ICE","Vehicle production",1005.21545264877,"Uranium-ICE","UraniumVehicle production","","Non-Renewable Primary Energy"
"Primary energy detail","Natural gas","NG","EV","Vehicle production",3161.46965335782,"Natural gas-EV","Natural gasVehicle production","NG","Non-Renewable Primary Energy"
"Primary energy detail","Natural gas","NG","ICE","Vehicle production",3348.58491485799,"Natural gas-ICE","Natural gasVehicle production","NG","Non-Renewable Primary Energy"
"Primary energy detail","Crude oil","Oil","EV","Vehicle production",3129.71431241677,"Crude oil-EV","Crude oilVehicle production","Oil","Non-Renewable Primary Energy"
"Primary energy detail","Crude oil","Oil","ICE","Vehicle production",3723.59340712931,"Crude oil-ICE","Crude oilVehicle production","Oil","Non-Renewable Primary Energy"
"Primary energy detail","Coal","Coal","EV","Vehicle production",7084.0397485054,"Coal-EV","CoalVehicle production","Coal","Non-Renewable Primary Energy"
"Primary energy detail","Coal","Coal","ICE","Vehicle production",7695.33045013411,"Coal-ICE","CoalVehicle production","Coal","Non-Renewable Primary Energy"
