"Scenario_Sales","Scenario_Lifetime","Scenario_Capacity","Scenario_Grid","Scenario_mpg","Scenario_Recycling","EV_kgCO2eq","EV_kgLithium","ICE_kgCO2eq","ICE_kgLithium","delta_co2","delta_li","metric"
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Reference","20%",8807409756699,1310899756.73706,25607418680643.4,23112.3758907101,-16800008923.9444,1310876644.36117,12.815857995648
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Reference","40%",8813723181866.01,1204613349.13333,25607418680643.4,23112.3758907101,-16793695498.7774,1204590236.75744,13.9414175761405
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Reference","60%",8820036607033.01,1098326941.52959,25607418680643.4,23112.3758907101,-16787382073.6104,1098303829.1537,15.284825225954
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Reference","80%",8826350032200.02,992040533.925855,25607418680643.4,23112.3758907101,-16781068648.4434,992017421.549964,16.9161027658405
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Improved MPG","0%",9772645984064.77,1417186143.76785,23702724937309.5,23100.3477906484,-13930078953.2447,1417163043.42006,9.82955279417045
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Improved MPG","20%",9778959409231.78,1310899736.16411,23702724937309.5,23100.3477906484,-13923765528.0777,1310876635.81632,10.6217207230999
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Improved MPG","40%",9785272834398.78,1204613328.56038,23702724937309.5,23100.3477906484,-13917452102.9107,1204590228.21258,11.5536817225904
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Improved MPG","60%",9791586259565.79,1098326920.95664,23702724937309.5,23100.3477906484,-13911138677.7437,1098303820.60885,12.6660204733076
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Improved MPG","80%",9797899684732.79,992040513.352904,23702724937309.5,23100.3477906484,-13904825252.5767,992017413.005114,14.0167148986376
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Reference","0%",9772645984064.77,1417186143.76785,25607418680643.4,23112.3758907101,-15834772696.5786,1417163031.39196,11.1735716680568
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Reference","20%",9778959409231.78,1310899736.16411,25607418680643.4,23112.3758907101,-15828459271.4116,1310876623.78822,12.0747131989202
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Reference","40%",9785272834398.78,1204613328.56038,25607418680643.4,23112.3758907101,-15822145846.2446,1204590216.18448,13.1348782628842
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Reference","60%",9791586259565.79,1098326920.95664,25607418680643.4,23112.3758907101,-15815832421.0776,1098303808.58075,14.4002345230097
"Ambitious","Long LIB Duration","High LIB Capacity","Reference case","Reference","80%",9797899684732.79,992040513.352904,25607418680643.4,23112.3758907101,-15809518995.9106,992017400.977014,15.9367355656667
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Improved MPG","0%",8503022280393.16,1101340056.50469,23702724937309.5,23100.3477906484,-15199702656.9163,1101316956.1569,13.8013880308866
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Improved MPG","20%",8507945503723.98,1018838193.51402,23702724937309.5,23100.3477906484,-15194779433.5855,1018815093.16623,14.9141679736642
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Improved MPG","40%",8512868727054.8,936336330.523344,23702724937309.5,23100.3477906484,-15189856210.2547,936313230.175554,16.2230498520315
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Improved MPG","60%",8517791950385.62,853834467.53267,23702724937309.5,23100.3477906484,-15184932986.9239,853811367.184879,17.7848803266586
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Improved MPG","80%",8522715173716.44,771332604.541995,23702724937309.5,23100.3477906484,-15180009763.593,771309504.194205,19.6808280995471
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Reference","0%",8503022280393.16,1101340056.50469,25607418680643.4,23112.3758907101,-17104396400.2502,1101316944.1288,15.530857389814
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Reference","20%",8507945503723.98,1018838193.51402,25607418680643.4,23112.3758907101,-17099473176.9194,1018815081.13813,16.7836867489411
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Reference","40%",8512868727054.8,936336330.523344,25607418680643.4,23112.3758907101,-17094549953.5886,936313218.147454,18.2572985431211
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Reference","60%",8517791950385.62,853834467.53267,25607418680643.4,23112.3758907101,-17089626730.2578,853811355.156779,20.0156938965982
"Ambitious","Long LIB Duration","Low LIB Capacity","Cambium NREL","Reference","80%",8522715173716.44,771332604.541995,25607418680643.4,23112.3758907101,-17084703506.9269,771309492.166104,22.1502570374794
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Improved MPG","0%",10050468714987.9,1101340042.81832,23702724937309.5,23100.3477906484,-13652256222.3216,1101316942.47053,12.3963009156076
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Improved MPG","20%",10055391938318.7,1018838179.82765,23702724937309.5,23100.3477906484,-13647332998.9908,1018815079.47986,13.3952993765642
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Improved MPG","40%",10060315161649.5,936336316.836974,23702724937309.5,23100.3477906484,-13642409775.66,936313216.489184,14.5703483998803
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Improved MPG","60%",10065238384980.3,853834453.8463,23702724937309.5,23100.3477906484,-13637486552.3291,853811353.498509,15.972482090393
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Improved MPG","80%",10070161608311.2,771332590.855625,23702724937309.5,23100.3477906484,-13632563328.9983,771309490.507834,17.6745696724444
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Reference","0%",10050468714987.9,1101340042.81832,25607418680643.4,23112.3758907101,-15556949965.6555,1101316930.44243,14.1257702806819
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Reference","20%",10055391938318.7,1018838179.82765,25607418680643.4,23112.3758907101,-15552026742.3247,1018815067.45176,15.2648181590238
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Reference","40%",10060315161649.5,936336316.836974,25607418680643.4,23112.3758907101,-15547103518.9939,936313204.461083,16.6045970994742
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Reference","60%",10065238384980.3,853834453.8463,25607418680643.4,23112.3758907101,-15542180295.663,853811341.470409,18.2032956705597
"Ambitious","Long LIB Duration","Low LIB Capacity","High Oil and Gas Supply","Reference","80%",10070161608311.2,771332590.855625,25607418680643.4,23112.3758907101,-15537257072.3322,771309478.479734,20.1439986229087
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Improved MPG","0%",8127908196338.2,1101340080.83962,23702724937309.5,23100.3477906484,-15574816740.9713,1101316980.49183,14.1419927385627
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Improved MPG","20%",8132831419669.02,1018838217.84895,23702724937309.5,23100.3477906484,-15569893517.6405,1018815117.50116,15.2823542271621
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Improved MPG","40%",8137754642999.84,936336354.858275,23702724937309.5,23100.3477906484,-15564970294.3096,936313254.510484,16.6236782608051
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Improved MPG","60%",8142677866330.67,853834491.8676,23702724937309.5,23100.3477906484,-15560047070.9788,853811391.51981,18.2242205076246
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Improved MPG","80%",8147601089661.49,771332628.876926,23702724937309.5,23100.3477906484,-15555123847.648,771309528.529135,20.167161525038
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Reference","0%",8127908196338.2,1101340080.83962,25607418680643.4,23112.3758907101,-17479510484.3052,1101316968.46373,15.8714620629953
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Reference","20%",8132831419669.02,1018838217.84895,25607418680643.4,23112.3758907101,-17474587260.9744,1018815105.47306,17.1518729621313
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Reference","40%",8137754642999.84,936336354.858275,25607418680643.4,23112.3758907101,-17469664037.6435,936313242.482384,18.6579269041709
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Reference","60%",8142677866330.67,853834491.8676,25607418680643.4,23112.3758907101,-17464740814.3127,853811379.49171,20.4550340201718
"Ambitious","Long LIB Duration","Low LIB Capacity","Low Oil and Gas Supply","Reference","80%",8147601089661.49,771332628.876926,25607418680643.4,23112.3758907101,-17459817590.9819,771309516.501035,22.6365903926436
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Improved MPG","0%",9099457848870.98,1101340060.26667,23702724937309.5,23100.3477906484,-14603267088.4385,1101316959.91888,13.2598222127752
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Improved MPG","20%",9104381072201.8,1018838197.276,23702724937309.5,23100.3477906484,-14598343865.1077,1018815096.92821,14.3287470995695
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Improved MPG","40%",9109304295532.62,936336334.285324,23702724937309.5,23100.3477906484,-14593420641.7769,936313233.937534,15.5860454736993
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Improved MPG","60%",9114227518863.44,853834471.29465,23702724937309.5,23100.3477906484,-14588497418.446,853811370.946859,17.0863236481235
"Ambitious","Long LIB Duration","Low LIB Capacity","Reference case","Improved MPG","80%",9119150742194.26,771332608.303975,23702724937309.5,23100.3477906484,-14583574195.1152,771309507.956184,18.9075514364639
