"Scenario","Year","Vehicle","age","modelYear","LIB"
"Ambitious-Reference",2035,"Cars",3,2032,26792
"Ambitious-Reference",2035,"Cars",4,2031,38173
"Ambitious-Reference",2035,"Cars",5,2030,54178
"Ambitious-Reference",2035,"Cars",6,2029,71768
"Ambitious-Reference",2035,"Cars",7,2028,89654
"Ambitious-Reference",2035,"Cars",8,2027,109636
"Ambitious-Reference",2035,"Cars",9,2026,134700
"Ambitious-Reference",2035,"Cars",10,2025,155440
"Ambitious-Reference",2035,"Cars",11,2024,124638
"Ambitious-Reference",2035,"Cars",12,2023,85849
"Ambitious-Reference",2035,"Cars",13,2022,87244
"Ambitious-Reference",2035,"Cars",14,2021,39333
"Ambitious-Reference",2035,"Cars",15,2020,19019
"Ambitious-Reference",2035,"Cars",16,2019,13235
"Ambitious-Reference",2035,"Cars",17,2018,8278
"Ambitious-Reference",2035,"Cars",18,2017,2447
"Ambitious-Reference",2035,"Cars",19,2016,3790
"Ambitious-Reference",2036,"Cars",0,2036,9939
"Ambitious-Reference",2036,"Cars",1,2035,15349
"Ambitious-Reference",2036,"Cars",2,2034,20908
"Ambitious-Reference",2036,"Cars",3,2033,29762
"Ambitious-Reference",2036,"Cars",4,2032,41850
"Ambitious-Reference",2036,"Cars",5,2031,59389
"Ambitious-Reference",2036,"Cars",6,2030,83763
"Ambitious-Reference",2036,"Cars",7,2029,109878
"Ambitious-Reference",2036,"Cars",8,2028,135224
"Ambitious-Reference",2036,"Cars",9,2027,161634
"Ambitious-Reference",2036,"Cars",10,2026,192024
"Ambitious-Reference",2036,"Cars",11,2025,211091
"Ambitious-Reference",2036,"Cars",12,2024,156812
"Ambitious-Reference",2036,"Cars",13,2023,98402
"Ambitious-Reference",2036,"Cars",14,2022,89127
"Ambitious-Reference",2036,"Cars",15,2021,35186
"Ambitious-Reference",2036,"Cars",16,2020,14770
"Ambitious-Reference",2036,"Cars",17,2019,8947
"Ambitious-Reference",2036,"Cars",18,2018,4931
"Ambitious-Reference",2036,"Cars",19,2017,1311
