"period","State","ev_share"
2042,"California",0.116343565430257
2043,"California",0.116343565430257
2044,"California",0.116343565430257
2045,"California",0.116343565430257
2046,"California",0.116343565430257
2047,"California",0.116343565430257
2048,"California",0.116343565430257
2049,"California",0.116343565430257
2050,"California",0.116343565430257
2023,"Colorado",0.0271192528735632
2024,"Colorado",0.0263217787051311
2025,"Colorado",0.025524304536699
2026,"Colorado",0.0247268303682669
2027,"Colorado",0.0239293561998347
2028,"Colorado",0.0231318820314026
2029,"Colorado",0.0223344078629705
2030,"Colorado",0.0215369336945384
2031,"Colorado",0.0207394595261063
2032,"Colorado",0.0199419853576741
2033,"Colorado",0.019144511189242
2034,"Colorado",0.0183470370208099
2035,"Colorado",0.0175495628523778
2036,"Colorado",0.0175495628523778
2037,"Colorado",0.0175495628523778
2038,"Colorado",0.0175495628523778
2039,"Colorado",0.0175495628523778
2040,"Colorado",0.0175495628523778
2041,"Colorado",0.0175495628523778
2042,"Colorado",0.0175495628523778
2043,"Colorado",0.0175495628523778
2044,"Colorado",0.0175495628523778
2045,"Colorado",0.0175495628523778
2046,"Colorado",0.0175495628523778
2047,"Colorado",0.0175495628523778
2048,"Colorado",0.0175495628523778
2049,"Colorado",0.0175495628523778
2050,"Colorado",0.0175495628523778
2023,"Connecticut",0.00862068965517241
2024,"Connecticut",0.00880232252176238
2025,"Connecticut",0.00898395538835235
2026,"Connecticut",0.00916558825494232
2027,"Connecticut",0.00934722112153229
2028,"Connecticut",0.00952885398812226
2029,"Connecticut",0.00971048685471223
2030,"Connecticut",0.0098921197213022
2031,"Connecticut",0.0100737525878922
2032,"Connecticut",0.0102553854544821
2033,"Connecticut",0.0104370183210721
2034,"Connecticut",0.0106186511876621
2035,"Connecticut",0.0108002840542521
2036,"Connecticut",0.0108002840542521
2037,"Connecticut",0.0108002840542521
2038,"Connecticut",0.0108002840542521
2039,"Connecticut",0.0108002840542521
2040,"Connecticut",0.0108002840542521
2041,"Connecticut",0.0108002840542521
2042,"Connecticut",0.0108002840542521
2043,"Connecticut",0.0108002840542521
2044,"Connecticut",0.0108002840542521
2045,"Connecticut",0.0108002840542521
2046,"Connecticut",0.0108002840542521
2047,"Connecticut",0.0108002840542521
2048,"Connecticut",0.0108002840542521
2049,"Connecticut",0.0108002840542521
2050,"Connecticut",0.0108002840542521
2023,"Delaware",0.00269396551724138
2024,"Delaware",0.00272622267261501
2025,"Delaware",0.00275847982798863
2026,"Delaware",0.00279073698336226
2027,"Delaware",0.00282299413873589
2028,"Delaware",0.00285525129410951
2029,"Delaware",0.00288750844948314
2030,"Delaware",0.00291976560485677
2031,"Delaware",0.00295202276023039
2032,"Delaware",0.00298427991560402
2033,"Delaware",0.00301653707097765
2034,"Delaware",0.00304879422635127
2035,"Delaware",0.0030810513817249
2036,"Delaware",0.0030810513817249
2037,"Delaware",0.0030810513817249
2038,"Delaware",0.0030810513817249
2039,"Delaware",0.0030810513817249
2040,"Delaware",0.0030810513817249
2041,"Delaware",0.0030810513817249
2042,"Delaware",0.0030810513817249
2043,"Delaware",0.0030810513817249
2044,"Delaware",0.0030810513817249
2045,"Delaware",0.0030810513817249
2046,"Delaware",0.0030810513817249
2047,"Delaware",0.0030810513817249
2048,"Delaware",0.0030810513817249
2049,"Delaware",0.0030810513817249
2050,"Delaware",0.0030810513817249
2023,"District of Columbia",0.00197557471264368
2024,"District of Columbia",0.00197988491273951
2025,"District of Columbia",0.00198419511283534
2026,"District of Columbia",0.00198850531293117
2027,"District of Columbia",0.001992815513027
2028,"District of Columbia",0.00199712571312283
2029,"District of Columbia",0.00200143591321866
2030,"District of Columbia",0.00200574611331449
2031,"District of Columbia",0.00201005631341032
2032,"District of Columbia",0.00201436651350615
2033,"District of Columbia",0.00201867671360198
2034,"District of Columbia",0.00202298691369781
2035,"District of Columbia",0.00202729711379364
2036,"District of Columbia",0.00202729711379364
2037,"District of Columbia",0.00202729711379364
2038,"District of Columbia",0.00202729711379364
2039,"District of Columbia",0.00202729711379364
2040,"District of Columbia",0.00202729711379364
2041,"District of Columbia",0.00202729711379364
2042,"District of Columbia",0.00202729711379364
2043,"District of Columbia",0.00202729711379364
2044,"District of Columbia",0.00202729711379364
2045,"District of Columbia",0.00202729711379364
2046,"District of Columbia",0.00202729711379364
2047,"District of Columbia",0.00202729711379364
2048,"District of Columbia",0.00202729711379364
2049,"District of Columbia",0.00202729711379364
2050,"District of Columbia",0.00202729711379364
2023,"Florida",0.0780352011494253
2024,"Florida",0.0771582556796258
2025,"Florida",0.0762813102098262
2026,"Florida",0.0754043647400267
2027,"Florida",0.0745274192702271
2028,"Florida",0.0736504738004276
2029,"Florida",0.0727735283306281
2030,"Florida",0.0718965828608285
2031,"Florida",0.071019637391029
2032,"Florida",0.0701426919212295
2033,"Florida",0.0692657464514299
2034,"Florida",0.0683888009816304
2035,"Florida",0.0675118555118309
2036,"Florida",0.0675118555118309
2037,"Florida",0.0675118555118309
2038,"Florida",0.0675118555118309
2039,"Florida",0.0675118555118309
2040,"Florida",0.0675118555118309
2041,"Florida",0.0675118555118309
2042,"Florida",0.0675118555118309
2043,"Florida",0.0675118555118309
2044,"Florida",0.0675118555118309
2045,"Florida",0.0675118555118309
2046,"Florida",0.0675118555118309
2047,"Florida",0.0675118555118309
2048,"Florida",0.0675118555118309
2049,"Florida",0.0675118555118309
2050,"Florida",0.0675118555118309
2023,"Georgia",0.0290050287356322
2024,"Georgia",0.0293322289851497
2025,"Georgia",0.0296594292346673
2026,"Georgia",0.0299866294841849
2027,"Georgia",0.0303138297337024
2028,"Georgia",0.03064102998322
2029,"Georgia",0.0309682302327375
2030,"Georgia",0.0312954304822551
2031,"Georgia",0.0316226307317727
2032,"Georgia",0.0319498309812902
2033,"Georgia",0.0322770312308078
2034,"Georgia",0.0326042314803253
2035,"Georgia",0.0329314317298429
2036,"Georgia",0.0329314317298429
2037,"Georgia",0.0329314317298429
2038,"Georgia",0.0329314317298429
2039,"Georgia",0.0329314317298429
2040,"Georgia",0.0329314317298429
2041,"Georgia",0.0329314317298429
2042,"Georgia",0.0329314317298429
2043,"Georgia",0.0329314317298429
2044,"Georgia",0.0329314317298429
2045,"Georgia",0.0329314317298429
2046,"Georgia",0.0329314317298429
2047,"Georgia",0.0329314317298429
2048,"Georgia",0.0329314317298429
2049,"Georgia",0.0329314317298429
2050,"Georgia",0.0329314317298429
2023,"Hawaii",0.00520833333333333
2024,"Hawaii",0.00513139577494796
2025,"Hawaii",0.00505445821656258
2026,"Hawaii",0.00497752065817721
2027,"Hawaii",0.00490058309979183
2028,"Hawaii",0.00482364554140645
2029,"Hawaii",0.00474670798302108
2030,"Hawaii",0.0046697704246357
2031,"Hawaii",0.00459283286625033
2032,"Hawaii",0.00451589530786495
2033,"Hawaii",0.00443895774947958
2034,"Hawaii",0.0043620201910942
2035,"Hawaii",0.00428508263270883
2036,"Hawaii",0.00428508263270883
2037,"Hawaii",0.00428508263270883
2038,"Hawaii",0.00428508263270883
2039,"Hawaii",0.00428508263270883
2040,"Hawaii",0.00428508263270883
2041,"Hawaii",0.00428508263270883
2042,"Hawaii",0.00428508263270883
2043,"Hawaii",0.00428508263270883
2044,"Hawaii",0.00428508263270883
2045,"Hawaii",0.00428508263270883
2046,"Hawaii",0.00428508263270883
2047,"Hawaii",0.00428508263270883
2048,"Hawaii",0.00428508263270883
2049,"Hawaii",0.00428508263270883
2050,"Hawaii",0.00428508263270883
2023,"Idaho",0.00233477011494253
2024,"Idaho",0.0026290679424809
2025,"Idaho",0.00292336577001926
2026,"Idaho",0.00321766359755763
2027,"Idaho",0.003511961425096
2028,"Idaho",0.00380625925263437
2029,"Idaho",0.00410055708017273
2030,"Idaho",0.0043948549077111
2031,"Idaho",0.00468915273524947
2032,"Idaho",0.00498345056278784
2033,"Idaho",0.0052777483903262
2034,"Idaho",0.00557204621786457
2035,"Idaho",0.00586634404540294
2036,"Idaho",0.00586634404540294
2037,"Idaho",0.00586634404540294
2038,"Idaho",0.00586634404540294
2039,"Idaho",0.00586634404540294
2040,"Idaho",0.00586634404540294
2041,"Idaho",0.00586634404540294
2042,"Idaho",0.00586634404540294
2043,"Idaho",0.00586634404540294
2044,"Idaho",0.00586634404540294
2045,"Idaho",0.00586634404540294
2046,"Idaho",0.00586634404540294
2047,"Idaho",0.00586634404540294
2048,"Idaho",0.00586634404540294
2049,"Idaho",0.00586634404540294
2050,"Idaho",0.00586634404540294
2023,"Illinois",0.029364224137931
2024,"Illinois",0.0300398119257103
2025,"Illinois",0.0307153997134895
2026,"Illinois",0.0313909875012687
2027,"Illinois",0.032066575289048
2028,"Illinois",0.0327421630768272
2029,"Illinois",0.0334177508646064
2030,"Illinois",0.0340933386523857
2031,"Illinois",0.0347689264401649
2032,"Illinois",0.0354445142279441
