"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Alabama","Wilcox County","01","131","Wilcox",9944,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Mississippi","Montgomery County","28","097","Montgomery",9600,"East South Central","MISS","Midcontinent / South","SERC Tennessee Valley","US-SERC"
"Nebraska","Kearney County","31","099","Kearney",6770,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Nebraska","Hitchcock County","31","087","Hitchcock",2552,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Delaware","New Castle County","10","003","New Castle",578592,"South Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Idaho","Teton County","16","081","Teton",12549,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Illinois","Rock Island County","17","161","Rock Island",141236,"East North Central","MISC","Midcontinent / Central","MRO West","US-MRO"
"Virginia","Gloucester County","51","073","Gloucester",40057,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Arkansas","Sevier County","05","133","Sevier",15632,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Indiana","Cass County","18","017","Cass",37666,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Idaho","Power County","16","077","Power",8253,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Indiana","Carroll County","18","015","Carroll",20525,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Pennsylvania","Philadelphia County","42","101","Philadelphia",1550542,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Wyoming","Washakie County","56","043","Washakie",7710,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Rockies","US-WECC"
"North Carolina","Camden County","37","029","Camden",11137,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"New York","Tompkins County","36","109","Tompkins",103558,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Arkansas","Jefferson County","05","069","Jefferson",63661,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Arkansas","Lincoln County","05","079","Lincoln",12898,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Wisconsin","Vernon County","55","123","Vernon",31170,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Missouri","Iron County","29","093","Iron",9440,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Texas","Hopkins County","48","223","Hopkins",38172,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"New York","Albany County","36","001","Albany",316659,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Texas","Houston County","48","225","Houston",22066,"West South Central","TRE","Texas Reliability Entity","SERC Mississippi Valley","US-SERC"
"Ohio","Monroe County","39","111","Monroe",13153,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Kansas","Rush County","20","165","Rush",2830,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Indiana","Montgomery County","18","107","Montgomery",38573,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Kansas","Stanton County","20","187","Stanton",1901,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Kentucky","Lee County","21","129","Lee",7293,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Minnesota","Koochiching County","27","071","Koochiching",11751,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Texas","Bexar County","48","029","Bexar",2087679,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Colorado","Boulder County","08","013","Boulder",326831,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Tennessee","Jefferson County","47","089","Jefferson",57838,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Oklahoma","Mayes County","40","097","Mayes",39889,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Minnesota","Watonwan County","27","165","Watonwan",11077,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Idaho","Blaine County","16","013","Blaine",25041,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Louisiana","Jefferson Davis Parish","22","053","Jefferson Davis",31553,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"South Dakota","Sully County","46","119","Sully",1494,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Colorado","Denver County","08","031","Denver",716577,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Oklahoma","Coal County","40","029","Coal",5266,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Montana","Carter County","30","011","Carter",1418,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","MRO West","US-MRO"
"Texas","Upton County","48","461","Upton",3109,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Indiana","Gibson County","18","051","Gibson",32904,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Nebraska","Kimball County","31","105","Kimball",3289,"West North Central","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Illinois","Kendall County","17","093","Kendall",139976,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"District of Columbia","District of Columbia","11","001","District of Columbia",678972,"South Atlantic","PJMD","PJM / Dominion","RFC East","US-RFC"
"Colorado","Montrose County","08","085","Montrose",44156,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Minnesota","Wright County","27","171","Wright",151150,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Wisconsin","Kenosha County","55","059","Kenosha",167488,"East North Central","MISW","Midcontinent / West","RFC West","US-RFC"
"Colorado","Eagle County","08","037","Eagle",54381,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"California","San Francisco County","06","075","San Francisco",808988,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Colorado","San Miguel County","08","113","San Miguel",7868,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Alaska","Anchorage Municipality","02","020","Anchorage",286075,"Pacific",NA,NA,"ASCC Alaska Grid","US-ASCC"
"Florida","St. Johns County","12","109","St. Johns",320110,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Mississippi","Choctaw County","28","019","Choctaw",8088,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Missouri","Grundy County","29","079","Grundy",9815,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Michigan","Lake County","26","085","Lake",12734,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Michigan","Ottawa County","26","139","Ottawa",303372,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Illinois","Cook County","17","031","Cook",5087072,"East North Central","PJMC","PJM / Commonwealth Edison","RFC West","US-RFC"
"Illinois","Gallatin County","17","059","Gallatin",4670,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"South Carolina","Greenwood County","45","047","Greenwood",69460,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Kansas","Franklin County","20","059","Franklin",26125,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Minnesota","Clay County","27","027","Clay",66258,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Tennessee","Haywood County","47","075","Haywood",17328,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Utah","Box Elder County","49","003","Box Elder",62684,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Mississippi","Tippah County","28","139","Tippah",21287,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"West Virginia","Marshall County","54","051","Marshall",29405,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"West Virginia","Jackson County","54","035","Jackson",27593,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Idaho","Elmore County","16","039","Elmore",29724,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Maryland","Baltimore County","24","005","Baltimore",844703,"South Atlantic","PJME","PJM / East","RFC East","US-RFC"
"North Dakota","Benson County","38","005","Benson",5745,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Missouri","Pike County","29","163","Pike",17935,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Ohio","Lawrence County","39","087","Lawrence",56118,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Missouri","Scott County","29","201","Scott",37889,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Ohio","Adams County","39","001","Adams",27521,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Texas","Erath County","48","143","Erath",44195,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Georgia","Habersham County","13","137","Habersham",48757,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Wilkinson County","13","319","Wilkinson",8725,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"West Virginia","Monongalia County","54","061","Monongalia",107718,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Ohio","Crawford County","39","033","Crawford",41529,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Florida","DeSoto County","12","027","DeSoto",35979,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Ohio","Guernsey County","39","059","Guernsey",38089,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Michigan","Barry County","26","015","Barry",63808,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Missouri","Stone County","29","209","Stone",32658,"West North Central","SPPC","Southwest Power Pool / Central","SPP South","US-MRO"
"Virginia","Richmond city","51","760","Richmond",229247,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"North Carolina","Stokes County","37","169","Stokes",45532,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Iowa","Clarke County","19","039","Clarke",9588,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Iowa","Fayette County","19","065","Fayette",19210,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"California","Marin County","06","041","Marin",254407,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Texas","Randall County","48","381","Randall",148255,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Texas","Rusk County","48","401","Rusk",53079,"West South Central","SPPS","Southwest Power Pool / South","ERCOT All","US-TRE"
"Iowa","Warren County","19","181","Warren",55205,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Ohio","Van Wert County","39","161","Van Wert",28704,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Florida","Glades County","12","043","Glades",12786,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Georgia","Meriwether County","13","199","Meriwether",20931,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Colorado","Costilla County","08","023","Costilla",3628,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Texas","Coryell County","48","099","Coryell",84878,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Iowa","Adair County","19","001","Adair",7389,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Georgia","Chattahoochee County","13","053","Chattahoochee",8661,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"California","Mariposa County","06","043","Mariposa",16919,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Missouri","Howard County","29","089","Howard",10101,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Oregon","Marion County","41","047","Marion",346741,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Wisconsin","Milwaukee County","55","079","Milwaukee",916205,"East North Central","MISW","Midcontinent / West","RFC West","US-RFC"
"Minnesota","Scott County","27","139","Scott",155814,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Ohio","Pickaway County","39","129","Pickaway",61086,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Powhatan County","51","145","Powhatan",32105,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Colorado","Broomfield County","08","014","Broomfield",76860,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Tennessee","Lawrence County","47","099","Lawrence",46114,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Michigan","Antrim County","26","009","Antrim",24409,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"South Carolina","Marlboro County","45","069","Marlboro",25704,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Idaho","Benewah County","16","009","Benewah",10369,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Illinois","Lee County","17","103","Lee",33654,"East North Central","PJMC","PJM / Commonwealth Edison","RFC West","US-RFC"
"Nebraska","Nemaha County","31","127","Nemaha",7076,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"North Carolina","Carteret County","37","031","Carteret",69615,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Kansas","Pottawatomie County","20","149","Pottawatomie",26382,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Michigan","Jackson County","26","075","Jackson",159424,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Texas","Comal County","48","091","Comal",193928,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Massachusetts","Nantucket County","25","019","Nantucket",14444,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"South Carolina","Bamberg County","45","009","Bamberg",12974,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Texas","Aransas County","48","007","Aransas",25374,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Georgia","Berrien County","13","019","Berrien",18570,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Indiana","Vermillion County","18","165","Vermillion",15417,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Michigan","Roscommon County","26","143","Roscommon",23863,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"North Carolina","Alleghany County","37","005","Alleghany",11342,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"California","Lassen County","06","035","Lassen",28861,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC California","US-WECC"
"Virginia","Falls Church city","51","610","Falls Church",14685,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Florida","Manatee County","12","081","Manatee",441095,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Ohio","Muskingum County","39","119","Muskingum",86305,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Colorado","Chaffee County","08","015","Chaffee",20617,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Colorado","Crowley County","08","025","Crowley",5636,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Colorado","Fremont County","08","043","Fremont",50318,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Mississippi","Pearl River County","28","109","Pearl River",57978,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Mississippi","Perry County","28","111","Perry",11315,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Nebraska","Custer County","31","041","Custer",10581,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Florida","Calhoun County","12","013","Calhoun",13470,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","FRCC All","US-SERC"
"Kentucky","Kenton County","21","117","Kenton",171321,"East South Central","PJMW","PJM / West","SERC Tennessee Valley","US-SERC"
"Iowa","Chickasaw County","19","037","Chickasaw",11658,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Illinois","DeKalb County","17","037","DeKalb",100288,"East North Central","PJMC","PJM / Commonwealth Edison","RFC West","US-RFC"
"Iowa","Hancock County","19","081","Hancock",10615,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"North Dakota","Stark County","38","089","Stark",33001,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Michigan","Luce County","26","095","Luce",6435,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Oklahoma","Carter County","40","019","Carter",48596,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"North Carolina","Pasquotank County","37","139","Pasquotank",41444,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"New Mexico","Taos County","35","055","Taos",34405,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Mississippi","Bolivar County","28","011","Bolivar",28968,"East South Central","MISS","Midcontinent / South","SERC South","US-SERC"
"Nevada","Nye County","32","023","Nye",55720,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Tennessee","Hawkins County","47","073","Hawkins",58600,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"North Dakota","Bowman County","38","011","Bowman",2867,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Pennsylvania","Fulton County","42","057","Fulton",14468,"Middle Atlantic","PJMW","PJM / West","RFC East","US-RFC"
"Louisiana","Lafayette Parish","22","055","Lafayette",249750,"West South Central","MISS","Midcontinent / South","SPP South","US-MRO"
"Texas","Jack County","48","237","Jack",8875,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Illinois","Stark County","17","175","Stark",5218,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Oklahoma","Greer County","40","055","Greer",5466,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Texas","Hemphill County","48","211","Hemphill",3189,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Idaho","Nez Perce County","16","069","Nez Perce",42987,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"South Dakota","Walworth County","46","129","Walworth",5269,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"California","Napa County","06","055","Napa",133216,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Oklahoma","Cotton County","40","033","Cotton",5427,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Missouri","Washington County","29","221","Washington",23534,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"New York","Cayuga County","36","011","Cayuga",74485,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Texas","Shackelford County","48","417","Shackelford",3229,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Texas","San Jacinto County","48","407","San Jacinto",28936,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Iowa","Dubuque County","19","061","Dubuque",98887,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Virginia","Goochland County","51","075","Goochland",27197,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Kansas","Sherman County","20","181","Sherman",5844,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Ohio","Richland County","39","139","Richland",125064,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Illinois","Adams County","17","001","Adams",64441,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Ohio","Champaign County","39","021","Champaign",38845,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"New Hampshire","Sullivan County","33","019","Sullivan",43969,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Illinois","Iroquois County","17","075","Iroquois",26136,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Iowa","Poweshiek County","19","157","Poweshiek",18453,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Ohio","Wayne County","39","169","Wayne",116510,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Georgia","Fayette County","13","113","Fayette",123351,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Hancock County","13","141","Hancock",8676,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Texas","Kendall County","48","259","Kendall",50537,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"New York","Greene County","36","039","Greene",47062,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Virginia","Orange County","51","137","Orange",38574,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Oklahoma","McCurtain County","40","089","McCurtain",30660,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Georgia","Tift County","13","277","Tift",41554,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Nebraska","Cass County","31","025","Cass",27446,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"South Dakota","Kingsbury County","46","077","Kingsbury",5276,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Wyoming","Converse County","56","009","Converse",13809,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Northwest","US-WECC"
"New York","Herkimer County","36","043","Herkimer",59484,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"North Dakota","Logan County","38","047","Logan",1869,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Michigan","Gogebic County","26","053","Gogebic",14224,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Minnesota","Becker County","27","005","Becker",35283,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Alabama","Marshall County","01","095","Marshall",100756,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC Tennessee Valley","US-SERC"
"Tennessee","Union County","47","173","Union",20741,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"West Virginia","Mineral County","54","057","Mineral",26867,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Wisconsin","Ashland County","55","003","Ashland",16079,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Illinois","Ford County","17","053","Ford",13250,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"North Dakota","Emmons County","38","029","Emmons",3224,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"California","Shasta County","06","089","Shasta",180366,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Louisiana","Vermilion Parish","22","113","Vermilion",56992,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Arkansas","Randolph County","05","121","Randolph",18907,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Wisconsin","Oneida County","55","085","Oneida",38226,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Louisiana","East Carroll Parish","22","035","East Carroll",6829,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Louisiana","East Feliciana Parish","22","037","East Feliciana",19229,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Louisiana","St. Bernard Parish","22","087","St. Bernard",44463,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Texas","Wharton County","48","481","Wharton",41739,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Alaska","Prince of Wales-Hyder Census Area","02","198","Prince of Wales-Hyder",5696,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Alaska","Petersburg Borough","02","195","Petersburg",3427,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Texas","Floyd County","48","153","Floyd",5090,"West South Central","SPPS","Southwest Power Pool / South","ERCOT All","US-TRE"
"Alaska","Wrangell City and Borough","02","275","Wrangell",2064,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Kentucky","Madison County","21","151","Madison",96735,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Tennessee","Blount County","47","009","Blount",141456,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Montana","Gallatin County","30","031","Gallatin",126409,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"South Carolina","Darlington County","45","031","Darlington",62416,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Alabama","Escambia County","01","053","Escambia",36558,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Haralson County","13","143","Haralson",32038,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Kansas","Allen County","20","001","Allen",12412,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Illinois","Douglas County","17","041","Douglas",19629,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Virginia","Greene County","51","079","Greene",21301,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Wisconsin","Waushara County","55","137","Waushara",24934,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Arkansas","Izard County","05","065","Izard",14169,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"California","Monterey County","06","053","Monterey",430723,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"New Mexico","Grant County","35","017","Grant",27472,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Missouri","Miller County","29","131","Miller",25590,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"North Carolina","Wilkes County","37","193","Wilkes",66013,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Alaska","Juneau City and Borough","02","110","Juneau",31555,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Missouri","Platte County","29","165","Platte",111940,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Missouri","Buchanan County","29","021","Buchanan",82956,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
