"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Kansas","Logan County","20","109","Logan",2665,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"California","Madera County","06","039","Madera",162858,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Missouri","Gentry County","29","075","Gentry",6287,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Nebraska","Blaine County","31","009","Blaine",436,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Utah","Daggett County","49","009","Daggett",992,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Wyoming","Platte County","56","031","Platte",8546,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Northwest","US-WECC"
"North Carolina","Gaston County","37","071","Gaston",237242,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"New Mexico","Guadalupe County","35","019","Guadalupe",4292,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Montana","Golden Valley County","30","037","Golden Valley",835,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"North Carolina","Johnston County","37","101","Johnston",241955,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"California","Santa Clara County","06","085","Santa Clara",1877592,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"South Carolina","Charleston County","45","019","Charleston",424367,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Washington","Benton County","53","005","Benton",215219,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
