"Scenario","Year","State","vehSize","total_gallons"
"Ambitious",2024,"Hawaii","Light Truck",13096167.2528497
"Ambitious",2024,"Idaho","Car",2451616.33104208
"Ambitious",2024,"Idaho","Light Truck",6187744.37649231
"Ambitious",2024,"Illinois","Car",26724022.2215578
"Ambitious",2024,"Illinois","Light Truck",72819174.1011027
"Ambitious",2024,"Indiana","Car",7169796.54042654
"Ambitious",2024,"Indiana","Light Truck",19541783.4760336
"Ambitious",2024,"Iowa","Car",2490410.56952325
"Ambitious",2024,"Iowa","Light Truck",7238592.58074622
"Ambitious",2024,"Kansas","Car",2969352.55953583
"Ambitious",2024,"Kansas","Light Truck",8626366.7969377
"Ambitious",2024,"Kentucky","Car",3745992.64660075
"Ambitious",2024,"Kentucky","Light Truck",8342171.45602861
"Ambitious",2024,"Louisiana","Car",2551717.50466115
"Ambitious",2024,"Louisiana","Light Truck",5618721.08078184
"Ambitious",2024,"Maine","Car",2147352.82228177
"Ambitious",2024,"Maine","Light Truck",5671998.7261689
"Ambitious",2024,"Maryland","Car",22567586.1751235
"Ambitious",2024,"Maryland","Light Truck",47104966.9871177
"Ambitious",2024,"Massachusetts","Car",20025509.726296
"Ambitious",2024,"Massachusetts","Light Truck",52869055.124407
"Ambitious",2024,"Michigan","Car",14239992.291298
"Ambitious",2024,"Michigan","Light Truck",38841438.1574338
"Ambitious",2024,"Minnesota","Car",10345944.8441967
"Ambitious",2024,"Minnesota","Light Truck",30060481.7198628
"Ambitious",2024,"Mississippi","Car",1262048.86697617
"Ambitious",2024,"Mississippi","Light Truck",2811526.70278387
"Ambitious",2024,"Missouri","Car",7010011.31285867
"Ambitious",2024,"Missouri","Light Truck",20370001.9387306
"Ambitious",2024,"Montana","Car",1363424.9019341
"Ambitious",2024,"Montana","Light Truck",3442838.35831694
"Ambitious",2024,"Nebraska","Car",1889258.64853333
"Ambitious",2024,"Nebraska","Light Truck",5490277.07055678
"Ambitious",2024,"Nevada","Car",12567211.414296
"Ambitious",2024,"Nevada","Light Truck",31725887.3040636
"Ambitious",2024,"New Hampshire","Car",2689365.40309667
"Ambitious",2024,"New Hampshire","Light Truck",7101101.89308931
"Ambitious",2024,"New Jersey","Car",37704107.6544843
"Ambitious",2024,"New Jersey","Light Truck",94555259.3814525
"Ambitious",2024,"New Mexico","Car",2833296.83463934
"Ambitious",2024,"New Mexico","Light Truck",7152181.10457146
"Ambitious",2024,"New York","Car",38131854.4215156
"Ambitious",2024,"New York","Light Truck",95607592.469175
"Ambitious",2024,"North Carolina","Car",21684079.6858963
"Ambitious",2024,"North Carolina","Light Truck",45274892.6104308
"Ambitious",2024,"North Dakota","Car",357537.858747846
"Ambitious",2024,"North Dakota","Light Truck",1040155.30451273
"Ambitious",2024,"Ohio","Car",13702998.1216231
"Ambitious",2024,"Ohio","Light Truck",37345977.4423641
"Ambitious",2024,"Oklahoma","Car",6585732.25995605
"Ambitious",2024,"Oklahoma","Light Truck",14502234.839879
"Ambitious",2024,"Oregon","Car",19075975.2851249
"Ambitious",2024,"Oregon","Light Truck",36606961.4086446
"Ambitious",2024,"Pennsylvania","Car",19923627.7410996
"Ambitious",2024,"Pennsylvania","Light Truck",49949722.7809477
"Ambitious",2024,"Rhode Island","Car",1763146.642927
"Ambitious",2024,"Rhode Island","Light Truck",4656903.35043054
"Ambitious",2024,"South Carolina","Car",6640783.96876518
"Ambitious",2024,"South Carolina","Light Truck",13869664.5402496
"Ambitious",2024,"South Dakota","Car",501088.278877668
"Ambitious",2024,"South Dakota","Light Truck",1456664.34198289
"Ambitious",2024,"Tennessee","Car",9960119.55757517
"Ambitious",2024,"Tennessee","Light Truck",22170284.057242
"Ambitious",2024,"Texas","Car",68945876.5984438
"Ambitious",2024,"Texas","Light Truck",151804003.710655
"Ambitious",2024,"Utah","Car",10874679.9466075
"Ambitious",2024,"Utah","Light Truck",27436525.3317685
"Ambitious",2024,"Vermont","Car",2182454.26154427
"Ambitious",2024,"Vermont","Light Truck",5762354.6128979
"Ambitious",2024,"Virginia","Car",25700034.4897239
"Ambitious",2024,"Virginia","Light Truck",53648858.9657538
"Ambitious",2024,"Washington","Car",48076153.3103352
"Ambitious",2024,"Washington","Light Truck",92310176.0791603
"Ambitious",2024,"West Virginia","Car",995825.96391026
"Ambitious",2024,"West Virginia","Light Truck",2080228.10428905
"Ambitious",2024,"Wisconsin","Car",7463929.59137399
"Ambitious",2024,"Wisconsin","Light Truck",20336897.6549195
"Ambitious",2024,"Wyoming","Car",349304.395056954
"Ambitious",2024,"Wyoming","Light Truck",881393.022822941
"Ambitious",2025,"Alabama","Car",7578019.70593086
"Ambitious",2025,"Alabama","Light Truck",16530325.5866431
"Ambitious",2025,"Alaska","Car",1608612.75492287
"Ambitious",2025,"Alaska","Light Truck",3061706.1207371
"Ambitious",2025,"Arizona","Car",35945677.0048397
"Ambitious",2025,"Arizona","Light Truck",87303263.6399034
"Ambitious",2025,"Arkansas","Car",4048403.02363534
"Ambitious",2025,"Arkansas","Light Truck",8856078.23526555
"Ambitious",2025,"California","Car",531071316.258161
"Ambitious",2025,"California","Light Truck",1012016434.55806
"Ambitious",2025,"Colorado","Car",41593673.5839592
"Ambitious",2025,"Colorado","Light Truck",100827960.867224
"Ambitious",2025,"Connecticut","Car",13837990.3247647
"Ambitious",2025,"Connecticut","Light Truck",34697110.0656286
"Ambitious",2025,"Delaware","Car",4435172.80907846
"Ambitious",2025,"Delaware","Light Truck",9202432.94184689
"Ambitious",2025,"District of Columbia","Car",3555359.8594842
"Ambitious",2025,"District of Columbia","Light Truck",7373622.20570015
"Ambitious",2025,"Florida","Car",123635459.156427
"Ambitious",2025,"Florida","Light Truck",256545856.685489
"Ambitious",2025,"Georgia","Car",46799750.2226034
"Ambitious",2025,"Georgia","Light Truck",96995153.5322189
"Ambitious",2025,"Hawaii","Car",10117267.2840275
"Ambitious",2025,"Hawaii","Light Truck",19256248.2556736
"Ambitious",2025,"Idaho","Car",4320258.74048863
"Ambitious",2025,"Idaho","Light Truck",10431564.5115567
"Ambitious",2025,"Illinois","Car",46198515.9167375
"Ambitious",2025,"Illinois","Light Truck",116524547.119965
"Ambitious",2025,"Indiana","Car",13258623.3579115
"Ambitious",2025,"Indiana","Light Truck",33208513.7387434
"Ambitious",2025,"Iowa","Car",4824787.40505704
"Ambitious",2025,"Iowa","Light Truck",12699676.6268584
"Ambitious",2025,"Kansas","Car",5543739.03150008
"Ambitious",2025,"Kansas","Light Truck",14647785.4678542
"Ambitious",2025,"Kentucky","Car",7059697.61090332
"Ambitious",2025,"Kentucky","Light Truck",15397552.0303524
"Ambitious",2025,"Louisiana","Car",4980695.13797122
"Ambitious",2025,"Louisiana","Light Truck",10885994.0113633
"Ambitious",2025,"Maine","Car",3766521.87039319
"Ambitious",2025,"Maine","Light Truck",9413202.3339157
"Ambitious",2025,"Maryland","Car",37119110.8111078
"Ambitious",2025,"Maryland","Light Truck",77012641.661725
"Ambitious",2025,"Massachusetts","Car",33537579.4885836
"Ambitious",2025,"Massachusetts","Light Truck",84078970.8098696
"Ambitious",2025,"Michigan","Car",25746771.810862
"Ambitious",2025,"Michigan","Light Truck",64676389.0585867
"Ambitious",2025,"Minnesota","Car",18470665.7284019
"Ambitious",2025,"Minnesota","Light Truck",49050452.8027539
"Ambitious",2025,"Mississippi","Car",2721601.23390504
"Ambitious",2025,"Mississippi","Light Truck",5920177.90367236
"Ambitious",2025,"Missouri","Car",12935266.2394716
"Ambitious",2025,"Missouri","Light Truck",34231808.85527
"Ambitious",2025,"Montana","Car",2390632.87296494
"Ambitious",2025,"Montana","Light Truck",5777923.50679895
"Ambitious",2025,"Nebraska","Car",3579496.953121
"Ambitious",2025,"Nebraska","Light Truck",9444390.10957949
"Ambitious",2025,"Nevada","Car",20229989.5417016
"Ambitious",2025,"Nevada","Light Truck",49128198.2842598
"Ambitious",2025,"New Hampshire","Car",4518738.43529927
"Ambitious",2025,"New Hampshire","Light Truck",11328185.3943764
"Ambitious",2025,"New Jersey","Car",62914076.5766881
"Ambitious",2025,"New Jersey","Light Truck",150306796.297059
"Ambitious",2025,"New Mexico","Car",4938739.55510163
"Ambitious",2025,"New Mexico","Light Truck",11933435.2729693
"Ambitious",2025,"New York","Car",66411217.7060953
"Ambitious",2025,"New York","Light Truck",158125342.741495
"Ambitious",2025,"North Carolina","Car",36706480.4672356
"Ambitious",2025,"North Carolina","Light Truck",76146736.3581774
"Ambitious",2025,"North Dakota","Car",821670.924519394
