"Scenario","Year","age","modelYear","vehSize","LIB"
"Ambitious-Long",2028,7,2021,"Car",1061.43166853744
"Ambitious-Long",2028,7,2021,"Light Truck",1574.56833146256
"Ambitious-Long",2028,8,2020,"Car",884.061268436787
"Ambitious-Long",2028,8,2020,"Light Truck",1315.93873156321
"Ambitious-Long",2028,9,2019,"Car",1217.2313868122
"Ambitious-Long",2028,9,2019,"Light Truck",1787.7686131878
"Ambitious-Long",2028,10,2018,"Car",1699.97741257409
"Ambitious-Long",2028,10,2018,"Light Truck",2472.02258742591
"Ambitious-Long",2028,11,2017,"Car",1244.66175936484
"Ambitious-Long",2028,11,2017,"Light Truck",1785.33824063515
"Ambitious-Long",2028,12,2016,"Car",5171.94927132109
"Ambitious-Long",2028,12,2016,"Light Truck",7294.0507286789
"Ambitious-Long",2029,0,2029,"Car",569.156630337422
"Ambitious-Long",2029,0,2029,"Light Truck",1049.84336966258
"Ambitious-Long",2029,1,2028,"Car",741.732098394831
"Ambitious-Long",2029,1,2028,"Light Truck",1347.26790160517
"Ambitious-Long",2029,2,2027,"Car",960.145016188765
"Ambitious-Long",2029,2,2027,"Light Truck",1706.85498381124
"Ambitious-Long",2029,3,2026,"Car",1303.66807181726
"Ambitious-Long",2029,3,2026,"Light Truck",2207.33192818274
"Ambitious-Long",2029,4,2025,"Car",1732.06988796289
"Ambitious-Long",2029,4,2025,"Light Truck",2747.93011203711
"Ambitious-Long",2029,5,2024,"Car",1952.22353501105
"Ambitious-Long",2029,5,2024,"Light Truck",3228.77646498895
"Ambitious-Long",2029,6,2023,"Car",1751.42729176491
"Ambitious-Long",2029,6,2023,"Light Truck",2594.57270823509
"Ambitious-Long",2029,7,2022,"Car",2414.11131719564
"Ambitious-Long",2029,7,2022,"Light Truck",3557.88868280436
"Ambitious-Long",2029,8,2021,"Car",1638.4542713501
"Ambitious-Long",2029,8,2021,"Light Truck",2430.5457286499
"Ambitious-Long",2029,9,2020,"Car",1351.00635658385
"Ambitious-Long",2029,9,2020,"Light Truck",2010.99364341615
"Ambitious-Long",2029,10,2019,"Car",1832.93578213817
"Ambitious-Long",2029,10,2019,"Light Truck",2692.06421786183
"Ambitious-Long",2029,11,2018,"Car",2501.884303261
"Ambitious-Long",2029,11,2018,"Light Truck",3638.115696739
"Ambitious-Long",2029,12,2017,"Car",1768.8163484571
"Ambitious-Long",2029,12,2017,"Light Truck",2537.1836515429
"Ambitious-Long",2029,13,2016,"Car",6987.48352539626
"Ambitious-Long",2029,13,2016,"Light Truck",9854.51647460373
"Ambitious-Long",2030,0,2030,"Car",675.470432322953
"Ambitious-Long",2030,0,2030,"Light Truck",1213.52956767705
"Ambitious-Long",2030,1,2029,"Car",897.106506908851
"Ambitious-Long",2030,1,2029,"Light Truck",1653.89349309115
"Ambitious-Long",2030,2,2028,"Car",1169.87699138405
"Ambitious-Long",2030,2,2028,"Light Truck",2124.12300861595
"Ambitious-Long",2030,3,2027,"Car",1515.44256116403
"Ambitious-Long",2030,3,2027,"Light Truck",2691.55743883597
"Ambitious-Long",2030,4,2026,"Car",2051.2711046503
"Ambitious-Long",2030,4,2026,"Light Truck",3471.7288953497
"Ambitious-Long",2030,5,2025,"Car",2921.79143118649
"Ambitious-Long",2030,5,2025,"Light Truck",4593.20856881351
"Ambitious-Long",2030,6,2024,"Car",3181.90735904024
"Ambitious-Long",2030,6,2024,"Light Truck",5240.09264095976
"Ambitious-Long",2030,7,2023,"Car",2717.81538326336
"Ambitious-Long",2030,7,2023,"Light Truck",4026.18461673664
"Ambitious-Long",2030,8,2022,"Car",3724.24775038905
"Ambitious-Long",2030,8,2022,"Light Truck",5488.75224961095
"Ambitious-Long",2030,9,2021,"Car",2502.17617158258
"Ambitious-Long",2030,9,2021,"Light Truck",3711.82382841742
"Ambitious-Long",2030,10,2020,"Car",2032.13537931129
"Ambitious-Long",2030,10,2020,"Light Truck",3024.86462068871
"Ambitious-Long",2030,11,2019,"Car",2695.32700427566
"Ambitious-Long",2030,11,2019,"Light Truck",3958.67299572434
"Ambitious-Long",2030,12,2018,"Car",3554.79457030114
"Ambitious-Long",2030,12,2018,"Light Truck",5169.20542969886
"Ambitious-Long",2030,13,2017,"Car",2389.91488976392
"Ambitious-Long",2030,13,2017,"Light Truck",3428.08511023608
"Ambitious-Long",2030,14,2016,"Car",8798.86893519795
"Ambitious-Long",2030,14,2016,"Light Truck",12409.131064802
"Ambitious-Long",2031,0,2031,"Car",731.690507409285
"Ambitious-Long",2031,0,2031,"Light Truck",1296.30949259072
"Ambitious-Long",2031,1,2030,"Car",1064.27214164974
"Ambitious-Long",2031,1,2030,"Light Truck",1855.72785835026
"Ambitious-Long",2031,2,2029,"Car",1414.90207769042
"Ambitious-Long",2031,2,2029,"Light Truck",2531.09792230958
"Ambitious-Long",2031,3,2028,"Car",1847.19449777059
"Ambitious-Long",2031,3,2028,"Light Truck",3318.80550222941
"Ambitious-Long",2031,4,2027,"Car",2384.92675368337
"Ambitious-Long",2031,4,2027,"Light Truck",4234.07324631664
"Ambitious-Long",2031,5,2026,"Car",3215.82210725106
"Ambitious-Long",2031,5,2026,"Light Truck",5441.17789274895
"Ambitious-Long",2031,6,2025,"Car",4455.15429586379
"Ambitious-Long",2031,6,2025,"Light Truck",7024.84570413621
"Ambitious-Long",2031,7,2024,"Car",4939.23002651725
"Ambitious-Long",2031,7,2024,"Light Truck",8136.76997348275
"Ambitious-Long",2031,8,2023,"Car",4189.15938745888
"Ambitious-Long",2031,8,2023,"Light Truck",6205.84061254112
"Ambitious-Long",2031,9,2022,"Car",5685.61213602758
"Ambitious-Long",2031,9,2022,"Light Truck",8379.38786397243
"Ambitious-Long",2031,10,2021,"Car",3762.1229435301
"Ambitious-Long",2031,10,2021,"Light Truck",5580.8770564699
"Ambitious-Long",2031,11,2020,"Car",2984.91231906748
"Ambitious-Long",2031,11,2020,"Light Truck",4443.08768093252
"Ambitious-Long",2031,12,2019,"Car",3827.08889936827
"Ambitious-Long",2031,12,2019,"Light Truck",5620.91110063173
"Ambitious-Long",2031,13,2018,"Car",4802.47693782315
"Ambitious-Long",2031,13,2018,"Light Truck",6983.52306217684
"Ambitious-Long",2031,14,2017,"Car",3009.37031323658
"Ambitious-Long",2031,14,2017,"Light Truck",4316.62968676341
"Ambitious-Long",2031,15,2016,"Car",10095.3827706607
"Ambitious-Long",2031,15,2016,"Light Truck",14237.6172293393
"Ambitious-Long",2032,0,2032,"Car",791.369917919921
"Ambitious-Long",2032,0,2032,"Light Truck",1423.63008208008
"Ambitious-Long",2032,1,2031,"Car",1153.34914360178
"Ambitious-Long",2032,1,2031,"Light Truck",2043.65085639822
"Ambitious-Long",2032,2,2030,"Car",1678.61752912331
"Ambitious-Long",2032,2,2030,"Light Truck",2926.38247087669
"Ambitious-Long",2032,3,2029,"Car",2233.63541223998
"Ambitious-Long",2032,3,2029,"Light Truck",3995.36458776002
"Ambitious-Long",2032,4,2028,"Car",2909.45669172762
"Ambitious-Long",2032,4,2028,"Light Truck",5115.54330827238
"Ambitious-Long",2032,5,2027,"Car",3743.27599107537
"Ambitious-Long",2032,5,2027,"Light Truck",6445.72400892464
"Ambitious-Long",2032,6,2026,"Car",5025.55372071096
"Ambitious-Long",2032,6,2026,"Light Truck",8503.44627928904
"Ambitious-Long",2032,7,2025,"Car",6706.04696132708
"Ambitious-Long",2032,7,2025,"Light Truck",10617.9530386729
"Ambitious-Long",2032,8,2024,"Car",7616.80627472198
"Ambitious-Long",2032,8,2024,"Light Truck",12550.193725278
"Ambitious-Long",2032,9,2023,"Car",6391.13792455126
"Ambitious-Long",2032,9,2023,"Light Truck",9467.86207544875
"Ambitious-Long",2032,10,2022,"Car",8546.81104813587
"Ambitious-Long",2032,10,2022,"Light Truck",12596.1889518641
"Ambitious-Long",2032,11,2021,"Car",5524.19615351486
"Ambitious-Long",2032,11,2021,"Light Truck",8194.80384648513
"Ambitious-Long",2032,12,2020,"Car",4233.44793771889
"Ambitious-Long",2032,12,2020,"Light Truck",6301.55206228111
"Ambitious-Long",2032,13,2019,"Car",5165.43582183999
"Ambitious-Long",2032,13,2019,"Light Truck",7586.56417816002
"Ambitious-Long",2032,14,2018,"Car",6046.89952123669
"Ambitious-Long",2032,14,2018,"Light Truck",8793.10047876331
"Ambitious-Long",2032,15,2017,"Car",3452.6013489972
"Ambitious-Long",2032,15,2017,"Light Truck",4952.3986510028
"Ambitious-Long",2032,16,2016,"Car",10321.079899138
"Ambitious-Long",2032,16,2016,"Light Truck",14555.920100862
"Ambitious-Long",2033,0,2033,"Car",854.227382658655
"Ambitious-Long",2033,0,2033,"Light Truck",1593.77261734135
"Ambitious-Long",2033,1,2032,"Car",1246.86991359438
"Ambitious-Long",2033,1,2032,"Light Truck",2243.13008640562
"Ambitious-Long",2033,2,2031,"Car",1818.52233215568
"Ambitious-Long",2033,2,2031,"Light Truck",3222.47766784432
"Ambitious-Long",2033,3,2030,"Car",2649.65463400911
"Ambitious-Long",2033,3,2030,"Light Truck",4618.34536599089
"Ambitious-Long",2033,4,2029,"Car",3519.94461489427
"Ambitious-Long",2033,4,2029,"Light Truck",6295.05538510573
"Ambitious-Long",2033,5,2028,"Car",4573.0503164686
"Ambitious-Long",2033,5,2028,"Light Truck",8039.94968353139
"Ambitious-Long",2033,6,2027,"Car",5855.04793551334
"Ambitious-Long",2033,6,2027,"Light Truck",10076.9520644867
"Ambitious-Long",2033,7,2026,"Car",7816.76633844034
"Ambitious-Long",2033,7,2026,"Light Truck",12859.2336615597
"Ambitious-Long",2033,8,2025,"Car",11686.745625331
"Ambitious-Long",2033,8,2025,"Light Truck",18235.254374669
"Ambitious-Long",2033,9,2024,"Car",11628.5492862525
"Ambitious-Long",2033,9,2024,"Light Truck",19163.4507137475
"Ambitious-Long",2033,10,2023,"Car",9604.23727964598
"Ambitious-Long",2033,10,2023,"Light Truck",14227.762720354
"Ambitious-Long",2033,11,2022,"Car",12552.8129157529
"Ambitious-Long",2033,11,2022,"Light Truck",18500.1870842471
"Ambitious-Long",2033,12,2021,"Car",7835.10523763337
"Ambitious-Long",2033,12,2021,"Light Truck",11622.8947623666
"Ambitious-Long",2033,13,2020,"Car",5708.624717915
"Ambitious-Long",2033,13,2020,"Light Truck",8497.37528208499
"Ambitious-Long",2033,14,2019,"Car",6498.51685145694
"Ambitious-Long",2033,14,2019,"Light Truck",9544.48314854306
"Ambitious-Long",2033,15,2018,"Car",6937.63552887977
"Ambitious-Long",2033,15,2018,"Light Truck",10088.3644711202
"Ambitious-Long",2033,16,2017,"Car",3529.00632828494
"Ambitious-Long",2033,16,2017,"Light Truck",5061.99367171505
"Ambitious-Long",2033,17,2016,"Car",9238.64642818691
"Ambitious-Long",2033,17,2016,"Light Truck",13029.3535718131
"Ambitious-Long",2034,0,2034,"Car",952.083994752795
"Ambitious-Long",2034,0,2034,"Light Truck",1736.91600524721
"Ambitious-Long",2034,1,2033,"Car",1346.0887136727
"Ambitious-Long",2034,1,2033,"Light Truck",2510.9112863273
"Ambitious-Long",2034,2,2032,"Car",1966.53726384392
"Ambitious-Long",2034,2,2032,"Light Truck",3538.46273615608
"Ambitious-Long",2034,3,2031,"Car",2870.56636370759
"Ambitious-Long",2034,3,2031,"Light Truck",5085.43363629242
"Ambitious-Long",2034,4,2030,"Car",4175.45955100896
"Ambitious-Long",2034,4,2030,"Light Truck",7276.54044899105
"Ambitious-Long",2034,5,2029,"Car",5531.01543572556
"Ambitious-Long",2034,5,2029,"Light Truck",9891.98456427444
"Ambitious-Long",2034,6,2028,"Car",7151.17686127934
"Ambitious-Long",2034,6,2028,"Light Truck",12573.8231387206
"Ambitious-Long",2034,7,2027,"Car",9109.06810230367
"Ambitious-Long",2034,7,2027,"Light Truck",15680.9318976963
"Ambitious-Long",2034,8,2026,"Car",12074.9583701107
"Ambitious-Long",2034,8,2026,"Light Truck",19795.0416298893
"Ambitious-Long",2034,9,2025,"Car",19148.9715336222
"Ambitious-Long",2034,9,2025,"Light Truck",29298.0284663778
"Ambitious-Long",2034,10,2024,"Car",17486.4254636622
"Ambitious-Long",2034,10,2024,"Light Truck",28822.5745363378
"Ambitious-Long",2034,11,2023,"Car",14104.9137624878
