"Scenario","Year","State","vehSize","total_kwh"
"Ambitious",2023,"Nebraska","Light Truck",27396077.4673094
"Ambitious",2023,"Nevada","Car",64226118.0033382
"Ambitious",2023,"Nevada","Light Truck",173514328.951561
"Ambitious",2023,"New Hampshire","Car",11481048.4654
"Ambitious",2023,"New Hampshire","Light Truck",38748286.3354916
"Ambitious",2023,"New Jersey","Car",170369253.951801
"Ambitious",2023,"New Jersey","Light Truck",512270687.880935
"Ambitious",2023,"New Mexico","Car",13927094.4774083
"Ambitious",2023,"New Mexico","Light Truck",37617136.1403219
"Ambitious",2023,"New York","Car",165381260.46042
"Ambitious",2023,"New York","Light Truck",497034103.577208
"Ambitious",2023,"North Carolina","Car",118587868.847298
"Ambitious",2023,"North Carolina","Light Truck",225415227.260466
"Ambitious",2023,"North Dakota","Car",1122592.63714809
"Ambitious",2023,"North Dakota","Light Truck",3967124.21596413
"Ambitious",2023,"Ohio","Car",58585657.8988143
"Ambitious",2023,"Ohio","Light Truck",196687090.59058
"Ambitious",2023,"Oklahoma","Car",37427670.6937902
"Ambitious",2023,"Oklahoma","Light Truck",76380053.8085308
"Ambitious",2023,"Oregon","Car",113493353.316083
"Ambitious",2023,"Oregon","Light Truck",194059378.621643
"Ambitious",2023,"Pennsylvania","Car",88455522.4069641
"Ambitious",2023,"Pennsylvania","Light Truck",265927844.039311
"Ambitious",2023,"Rhode Island","Car",7433731.91755174
"Ambitious",2023,"Rhode Island","Light Truck",25104426.7844874
"Ambitious",2023,"South Carolina","Car",35353065.0564059
"Ambitious",2023,"South Carolina","Light Truck",67241155.9850046
"Ambitious",2023,"South Dakota","Car",1901088.65556772
"Ambitious",2023,"South Dakota","Light Truck",6760385.73346186
"Ambitious",2023,"Tennessee","Car",50873687.2590331
"Ambitious",2023,"Tennessee","Light Truck",113260112.362959
"Ambitious",2023,"Texas","Car",370598659.431215
"Ambitious",2023,"Texas","Light Truck",763160815.224369
"Ambitious",2023,"Utah","Car",53936121.4554785
"Ambitious",2023,"Utah","Light Truck",145644543.979596
"Ambitious",2023,"Vermont","Car",9014329.95345592
"Ambitious",2023,"Vermont","Light Truck",30417122.3025636
"Ambitious",2023,"Virginia","Car",143471212.206634
"Ambitious",2023,"Virginia","Light Truck",272084309.320808
"Ambitious",2023,"Washington","Car",268317470.941474
"Ambitious",2023,"Washington","Light Truck",461216374.150987
"Ambitious",2023,"West Virginia","Car",4754260.36207796
"Ambitious",2023,"West Virginia","Light Truck",9005777.82283883
"Ambitious",2023,"Wisconsin","Car",28983344.5941122
"Ambitious",2023,"Wisconsin","Light Truck",97063906.2414919
"Ambitious",2023,"Wyoming","Car",1480959.60904202
"Ambitious",2023,"Wyoming","Light Truck",3998457.51672971
"Ambitious",2024,"Alabama","Car",33911769.1307167
"Ambitious",2024,"Alabama","Light Truck",79383305.4011055
"Ambitious",2024,"Alaska","Car",7358267.30056236
"Ambitious",2024,"Alaska","Light Truck",13025332.631031
